categoria,empresas
Restaurant,96738
Auto repair shop,77352
Gas station,69678
Service establishment,65485
Beauty salon,65166
Convenience store,61644
Church,52580
Hair salon,51383
Nail salon,44294
Park,42146
ATM,42024
Clothing store,36225
Doctor,36213
Dentist,35747
Insurance agency,35320
Barber shop,35095
Grocery store,31526
Bar,30780
Cell phone store,30397
Tire shop,29511
Tourist attraction,29504
Non-profit organization,28749
Fast food restaurant,28686
Used car dealer,26358
Gift shop,26084
Coffee shop,25220
Massage therapist,25013
Bank,24891
Auto insurance agency,24620
Takeout Restaurant,23833
Pizza restaurant,23721
Auto parts store,23400
Corporate office,22908
Sandwich shop,22735
Auto body shop,22727
Apartment complex,22551
Electronics store,22419
Real estate agency,22404
Attorney,22265
Women's clothing store,22132
Gym,22077
Caterer,21741
Apartment building,21733
Home insurance agency,21534
Furniture store,21329
Oil change service,20771
Baptist church,20642
Life insurance agency,20522
Shoe store,20362
Cafe,20346
Car repair and maintenance,19967
Pharmacy,19648
Bakery,18928
Brake shop,18719
Medical clinic,18692
Self-storage facility,18395
Renter's insurance agency,18136
Store,17615
Mexican restaurant,17134
American restaurant,17116
Drug store,16778
Shipping and mailing service,16772
Liquor store,16704
Cosmetics store,16368
Tobacco shop,16212
Beauty supply store,16134
Cosmetic dentist,16118
Pet groomer,16103
Jewelry store,15866
Home goods store,15706
Fashion accessories store,15597
Chiropractor,15430
Car wash,15311
Car dealer,15125
Plumber,15061
Veterinarian,14265
Discount store,14019
Event venue,13760
Waxing hair removal service,13661
Business center,13200
Breakfast restaurant,13148
Manufacturer,13020
Lake,12795
River,12776
Ice cream shop,12519
General contractor,12484
Home builder,12293
Delivery Restaurant,12286
Storage facility,12277
Optometrist,12139
Toy store,12047
Dental clinic,12047
Towing service,12018
Hardware store,11989
Men's clothing store,11823
Florist,11769
Air conditioning contractor,11769
Mechanic,11688
HVAC contractor,11655
Laundromat,11612